PassengerId,SibSp,Parch,Fare,SibSpMinusParch,SibSpPlusParch,Alone,WithParentsOrChildren,WithSiblingsOrSpouses,Sex_enc,Embarked_enc,Title_enc,Ticket_Type_enc,Cabin_Type_enc,Age_Bucket_enc,Fare_Bucket_enc,SibSp_Bucket_enc,Parch_Bucket_enc,Pclass_enc,Sex_enc_%,Embarked_enc_%,Title_enc_%,Ticket_Type_enc_%,Cabin_Type_enc_%,Age_Bucket_enc_%,Fare_Bucket_enc_%,SibSp_Bucket_enc_%,Parch_Bucket_enc_%,Pclass_enc_%
473,0.125,0.3333333333333333,0.5381641153575258,0.36363636363636365,0.30000000000000004,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8,0.5,1.0,0.5,0.5,1.0000000000000002,0.0,1.0,0.0,0.0,0.5194730716683256,0.5032544729032004,0.5202702702702703,0.4411764705882353,0.5561174186010535
598,0.0,0.0,0.0,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09116120597440691,0.0,0.3523809523809524,0.34334763948497854,0.0
844,0.0,0.0,0.3215127932020503,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.8,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.20378352490421459,0.0,0.5194730716683256,0.0,0.3523809523809524,0.34334763948497854,0.0
113,0.0,0.0,0.3529552840548492,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.16719780903771952,0.0,0.0,0.0,0.3523809523809524,0.34334763948497854,0.0
870,0.125,0.16666666666666666,0.3999337912742493,0.4545454545454546,0.2,0.0,1.0,1.0,0.0,0.0,0.5,0.25,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.6960460325542543,0.16719780903771952,0.0,1.0000000000000004,0.5032544729032004,0.5202702702702703,0.5402298850574713,0.0
839,0.0,0.0,0.6492173620225161,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6000000000000001,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.20378352490421459,0.0,0.457773204918448,0.9999999999999999,0.3523809523809524,0.34334763948497854,0.0
576,0.0,0.0,0.43917261968469046,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.16719780903771952,0.0,1.0000000000000004,0.5032544729032004,0.3523809523809524,0.34334763948497854,0.0
378,0.0,0.3333333333333333,0.8586785697903752,0.27272727272727276,0.2,0.0,1.0,0.0,0.0,1.0,0.0,0.25,1.0,0.6000000000000001,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.16719780903771952,1.0,0.457773204918448,0.9999999999999999,0.3523809523809524,0.4411764705882353,0.9999999999999999
665,0.125,0.0,0.35072669661240763,0.5454545454545455,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5202702702702703,0.34334763948497854,0.0
85,0.0,0.0,0.39134423619738523,0.4545454545454546,0.0,1.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,1.0,0.0,0.5,0.0,0.5,1.0000000000000002,0.0,0.8790347405176311,0.0,0.0,1.0000000000000004,0.0,0.3523809523809524,0.34334763948497854,0.5561174186010535
427,0.125,0.0,0.5281013477114938,0.5454545454545455,0.1,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.6000000000000001,0.5,1.0,0.0,0.5,1.0000000000000002,0.0,1.0,0.20378352490421459,0.0,0.457773204918448,0.5032544729032004,0.5202702702702703,0.34334763948497854,0.5561174186010535
693,0.0,0.0,0.6492173620225161,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.20378352490421459,0.0,0.03295445024715837,0.9999999999999999,0.3523809523809524,0.34334763948497854,0.0
91,0.0,0.0,0.3529552840548492,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.6000000000000001,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.16719780903771952,0.0,0.457773204918448,0.0,0.3523809523809524,0.34334763948497854,0.0
673,0.0,0.0,0.39134423619738523,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.09116120597440691,0.0,0.3523809523809524,0.34334763948497854,0.5561174186010535
446,0.0,0.3333333333333333,0.7077696544942279,0.27272727272727276,0.2,0.0,1.0,0.0,0.0,0.0,0.5,0.75,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.6960460325542543,0.788032454361055,1.0,1.0000000000000004,0.9999999999999999,0.3523809523809524,0.4411764705882353,0.9999999999999999
621,0.125,0.0,0.4386984565615303,0.5454545454545455,0.1,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.6000000000000001,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.20378352490421459,0.0,0.457773204918448,0.5032544729032004,0.5202702702702703,0.34334763948497854,0.0
145,0.0,0.0,0.40470470937773706,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.16719780903771952,0.0,1.0000000000000004,0.5032544729032004,0.3523809523809524,0.34334763948497854,0.5561174186010535
13,0.0,0.0,0.3529552840548492,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3523809523809524,0.34334763948497854,0.0
753,0.0,0.0,0.3767675685322775,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.8,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.16719780903771952,0.0,0.5194730716683256,0.0,0.3523809523809524,0.34334763948497854,0.0
565,0.0,0.0,0.3529552840548492,0.4545454545454546,0.0,1.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,0.2,0.0,0.5,0.0,0.0,1.0000000000000002,0.0,0.8790347405176311,0.0,0.0,0.03295445024715837,0.0,0.3523809523809524,0.34334763948497854,0.0
204,0.0,0.0,0.33763919258513786,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.4,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.20378352490421459,0.0,0.09116120597440691,0.0,0.3523809523809524,0.34334763948497854,0.0
387,0.625,0.3333333333333333,0.6199594201430055,0.7272727272727273,0.7000000000000001,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.6960460325542543,0.0,0.0,1.0000000000000004,0.9999999999999999,0.22641509433962265,0.4411764705882353,0.0
56,0.0,0.0,0.5764076106287911,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.2,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.788032454361055,1.0,0.03295445024715837,0.5032544729032004,0.3523809523809524,0.34334763948497854,0.9999999999999999
134,0.125,0.0,0.5281013477114938,0.5454545454545455,0.1,0.0,0.0,1.0,1.0,0.0,1.0,0.25,0.0,0.6000000000000001,0.5,1.0,0.0,0.5,1.0000000000000002,0.0,1.0,0.16719780903771952,0.0,0.457773204918448,0.5032544729032004,0.5202702702702703,0.34334763948497854,0.5561174186010535
554,0.0,0.0,0.33763919258513786,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.20378352490421459,0.0,0.0,0.0,0.3523809523809524,0.34334763948497854,0.0
270,0.0,0.0,0.787913124843811,0.4545454545454546,0.0,1.0,0.0,0.0,1.0,0.0,0.75,1.0,1.0,0.8,1.0,0.5,0.0,1.0,1.0000000000000002,0.0,0.8790347405176311,1.0,1.0,0.5194730716683256,0.9999999999999999,0.3523809523809524,0.34334763948497854,0.9999999999999999
807,0.0,0.0,0.0,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.8,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.16719780903771952,1.0,0.5194730716683256,0.0,0.3523809523809524,0.34334763948497854,0.9999999999999999
281,0.0,0.0,0.34755366512192026,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.4,0.0,0.5,0.0,0.0,0.0,0.2573283493999605,0.0,0.16719780903771952,0.0,0.09116120597440691,0.0,0.3523809523809524,0.34334763948497854,0.0
248,0.0,0.3333333333333333,0.43917261968469046,0.27272727272727276,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.25,0.0,0.0,0.5,0.5,0.5,0.5,1.0000000000000002,0.0,1.0,0.16719780903771952,0.0,0.0,0.5032544729032004,0.3523809523809524,0.4411764705882353,0.5561174186010535
455,0.0,0.0,0.3529552840548492,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03295445024715837,0.0,0.3523809523809524,0.34334763948497854,0.0
784,0.125,0.3333333333333333,0.5122051830222119,0.36363636363636365,0.30000000000000004,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.03295445024715837,0.5032544729032004,0.5202702702702703,0.4411764705882353,0.0
534,0.0,0.3333333333333333,0.5048860932177652,0.27272727272727276,0.2,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.2,0.5,0.5,0.5,0.0,1.0000000000000002,1.0,1.0,0.20378352490421459,0.0,0.03295445024715837,0.5032544729032004,0.3523809523809524,0.4411764705882353,0.0
118,0.125,0.0,0.4952865544680222,0.5454545454545455,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.6000000000000001,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.788032454361055,0.0,0.457773204918448,0.5032544729032004,0.5202702702702703,0.34334763948497854,0.5561174186010535
797,0.0,0.0,0.5276806297112894,0.4545454545454546,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.75,1.0,0.4,0.5,0.5,0.0,1.0,1.0000000000000002,0.0,0.5136453838731407,0.788032454361055,1.0,0.09116120597440691,0.5032544729032004,0.3523809523809524,0.34334763948497854,0.9999999999999999
170,0.0,0.0,0.6492173620225161,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6000000000000001,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.20378352490421459,0.0,0.457773204918448,0.9999999999999999,0.3523809523809524,0.34334763948497854,0.0
475,0.0,0.0,0.3818368689483545,0.4545454545454546,0.0,1.0,0.0,0.0,1.0,0.0,0.75,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0000000000000002,0.0,0.8790347405176311,0.20378352490421459,0.0,0.0,0.0,0.3523809523809524,0.34334763948497854,0.0
802,0.125,0.16666666666666666,0.5295781586642772,0.4545454545454546,0.2,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6000000000000001,0.5,1.0,1.0,0.5,1.0000000000000002,0.0,1.0,0.0,0.0,0.457773204918448,0.5032544729032004,0.5202702702702703,0.5402298850574713,0.5561174186010535
321,0.0,0.0,0.33812548386615277,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3523809523809524,0.34334763948497854,0.0
508,0.0,0.0,0.5313325505056177,0.4545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.2,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.16719780903771952,0.0,0.03295445024715837,0.5032544729032004,0.3523809523809524,0.34334763948497854,0.9999999999999999
