PassengerId,Survived
473,1
598,0
844,0
113,0
870,1
839,1
576,0
378,0
665,1
85,1
427,1
693,1
91,0
673,0
446,1
621,0
145,0
13,0
753,0
565,0
204,0
387,0
56,1
134,1
554,1
270,1
807,0
281,0
248,1
455,0
784,0
534,1
118,0
797,1
170,0
475,0
802,1
321,0
508,1
588,1
827,0
228,0
63,0
175,0
872,1
298,0
33,1
440,0
35,0
328,1
782,1
589,0
515,0
340,0
571,1
639,0
369,1
852,0
194,1
191,1
661,1
224,0
105,0
293,0
371,1
848,0
676,0
36,0
751,1
653,0
50,0
720,0
183,0
597,1
619,1
129,1
352,0
816,0
736,0
760,1
763,1
498,0
101,0
172,0
240,0
201,0
226,0
112,0
474,1
325,0
401,1
620,0
382,1
384,1
408,1
568,0
709,1
530,0
245,0
166,1
299,1
826,0
886,0
447,1
767,0
331,1
82,1
141,0
399,0
738,1
703,0
250,0
140,0
808,0
169,0
265,0
67,1
572,1
111,0
723,0
359,1
511,1
127,0
656,0
668,0
672,0
876,1
394,1
636,1
755,1
622,1
211,0
409,0
180,0
80,1
406,0
438,1
617,0
18,1
247,0
860,0
561,0
847,0
563,0
633,1
351,0
271,0
480,1
83,1
788,0
88,0
38,0
880,1
330,1
149,0
375,0
739,0
128,1
774,0
393,0
346,1
432,1
407,0
618,0
257,1
806,0
887,0
186,0
706,0
84,0
662,0
221,1
123,0
698,1
421,0
171,0
862,0
311,1
483,0
601,1
505,1
58,0
192,0
481,0
25,0
680,1
87,0
389,0
569,0
890,1
220,0
459,1
232,0
234,1
503,0
881,1
162,1
264,0
513,1
868,0
288,0
125,0
225,1
778,1
704,0
537,0
742,0
363,0
578,1
385,0
252,0
479,0
714,0
462,0
557,1
9,1
686,0
349,1
499,0
663,0
370,1
853,0
745,1
176,0
254,0
605,1
362,0
73,0
728,1
478,0
604,0
822,1
722,0
415,1
456,1
72,0
43,0
790,0
555,1
424,0
764,1
488,0
10,1
666,0
612,0
552,0
163,0
646,1
652,1
468,0
769,0
863,1
803,1
64,0
383,0
573,1
255,0
358,0
7,0
885,0
542,0
836,1
319,1
205,1
4,1
654,1
891,0
493,0
249,1
167,1
20,1
287,1
244,0
303,0
276,1
795,0
374,0
256,1
46,0
695,0
632,0
181,0
364,0
348,1
516,0
157,1
451,0
517,1
142,1
715,0
477,0
158,0
471,0
336,0
684,0
107,1
730,0
197,0
286,0
608,1
849,0
772,0
813,0
301,1
879,0
300,1
54,1
292,1
182,0
484,1
519,1
729,0
231,1
536,1
525,0
574,1
871,0
538,1
650,1
733,0
284,1
164,0
189,0
593,0
380,0
664,0
17,0
179,0
316,1
187,1
135,0
154,0
540,1
78,0
635,0
623,1
528,0
22,1
501,0
405,0
161,0
660,0
251,0
856,1
441,1
647,0
823,0
814,0
196,1
719,0
740,0
658,0
694,0
507,1
357,1
339,1
280,1
109,0
506,0
491,0
819,0
131,0
326,1
785,0
754,0
681,0
213,0
677,0
873,0
279,0
103,0
419,0
152,1
155,0
203,0
193,1
443,0
865,0
110,1
347,1
334,0
496,0
710,1
356,0
800,0
137,1
27,0
420,0
95,0
400,1
500,0
390,1
737,0
208,1
104,0
367,1
750,0
861,0
246,0
792,0
185,1
596,0
304,1
461,1
766,1
320,1
564,0
195,1
453,0
716,0
734,0
884,0
139,0
670,1
100,0
615,0
874,0
323,1
439,0
93,0
61,0
626,0
531,1
436,1
74,0
32,1
214,0
490,1
725,1
404,0
485,1
41,0
846,0
8,0
812,0
602,0
791,0
403,0
291,1
368,1
206,0
613,1
492,0
449,1
472,0
146,0
57,1
333,0
184,1
748,1
713,1
457,0
60,0
878,0
24,1
202,0
889,0
391,1
398,0
543,0
828,1
28,0
786,0
37,1
529,0
165,0
425,0
52,0
752,1
19,0
411,0
2,1
804,1
422,0
762,0
86,1
801,0
212,1
133,0
522,0
482,0
866,1
741,1
841,0
699,0
452,0
71,0
98,1
566,0
592,1
153,0
5,0
756,1
307,1
877,0
603,0
144,0
156,0
90,0
295,0
216,1
831,1
373,0
338,1
277,0
669,0
306,1
177,0
267,0
551,1
350,0
1,0
366,0
832,1
779,0
595,0
583,0
124,1
711,1
108,1
793,0
217,1
81,0
675,0
504,0
659,0
261,0
855,0
732,0
599,0
458,1
607,0
616,1
724,0
655,0
567,0
539,0
637,0
532,0
341,1
642,1
34,0
580,1
45,1
787,1
335,1
857,1
549,0
30,0
44,1
579,0
315,0
883,0
469,0
533,0
430,1
114,0
749,0
260,1
294,0
810,1
541,1
243,0
237,0
630,0
818,0
79,1
692,1
365,0
14,0
798,1
241,0
12,1
115,0
509,0
838,0
770,0
687,0
829,1
51,0
559,1
645,1
130,0
586,1
667,0
487,1
625,0
11,1
70,0
486,0
708,1
210,1
410,0
773,0
781,1
337,0
345,0
840,1
758,0
869,0
718,1
296,0
815,0
679,0
521,1
682,1
700,0
697,0
842,0
329,1
77,0
691,1
888,1
743,1
759,0
690,1
651,0
242,1
266,0
16,1
465,0
